ID_Registro,Marca de la Unidad,Año del Vehículo,Ciudad Agencia,Estado de la ciudad o Agencia,Refaccion,Precio,Fecha Compra
4079,SEAT,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FARO,5461,01/04/2019
4080,SEAT,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FARO,1119,01/04/2019
4081,SEAT,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA DELANTERA,6498,01/04/2019
4082,SEAT,2019,CUAUTITLAN IZCALLI,ESTADO DE MEXICO,FACIA DELANTERA,620,01/04/2019
4083,SEAT,2015,TLALNEPANTLA DE BAZ,ESTADO DE MEXICO,FARO,9800,23/04/2019
4084,HYUNDAI,2015,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA TRASERA,300,02/04/2019
4085,HYUNDAI,2015,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA TRASERA,3000,02/04/2019
4086,HYUNDAI,2015,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA TRASERA,3500,02/04/2019
4087,HYUNDAI,2015,ECATEPEC DE MORELOS,ESTADO DE MEXICO,FACIA TRASERA,4000,02/04/2019
4088,KIA,2017,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA TRASERA,3785,01/04/2019
4089,KIA,2017,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA TRASERA,4743,01/04/2019
4090,KIA,2017,BENITO JUAREZ,CIUDAD DE MÉXICO,FACIA TRASERA,2478,01/04/2019
4091,VOLKSWAGEN,2017,GUSTAVO A MADERO,CIUDAD DE MÉXICO,FACIA TRASERA,2114,09/07/2019
4092,MERCEDES BENZ,2014,LEÓN,GUANAJUATO,LLANTA,4172,29/04/2019
